ngay,ma,kn_gia_tri,kn_khoi_luong
2026-09-08,ORS,-26030000,-1900
2026-09-08,PDR,-224172000,-18681
2026-09-08,PLX,7275125000,203500
2026-09-08,PNJ,-12240000000,-318750
2026-09-08,POW,-23807781750,-1867277
2026-09-08,PVD,-44861679800,-2405452
2026-09-08,PVS,8705236500,223785
2026-09-08,SAB,2345491000,52180
2026-09-08,SHB,-22845378000,-1927880
2026-09-08,SSB,-1170522000,-65029
2026-09-08,SSI,-821583000,-39123
2026-09-08,STB,-32324616500,-424765
2026-09-08,SZC,-672620000,-33800
2026-09-08,TCB,-4914964350,-153833
2026-09-08,TPB,-1044058000,-72004
2026-09-08,VCB,-86767760100,-1493421
2026-09-08,VCI,3238225900,149227
2026-09-08,VHC,-133318800,-2554
2026-09-08,VHM,-30228844800,-410718
2026-09-08,VIB,42470076600,2821932
2026-09-08,VIC,15661651200,62747
2026-09-08,VIX,6356446250,462287
2026-09-08,VJC,6298614000,49989
2026-09-08,VND,-4713210900,-293658
2026-09-08,VNM,-37083608000,-607928
2026-09-08,VPB,-77641927800,-2833647
2026-09-08,VRE,-39390468600,-1503453
2026-09-08,VSC,-9625000,-700
2026-09-08,VTP,-1161376500,-22551
2026-09-09,ACB,-15896845000,-708100
2026-09-09,AGR,2570000,200
2026-09-09,ANV,-872050000,-53500
2026-09-09,BID,12642156800,347312
2026-09-09,BSI,-125369000,-4430
2026-09-09,BSR,36692760000,1341600
2026-09-09,BVH,2171065000,34190
2026-09-09,CTD,-651664300,-10843
2026-09-09,CTG,-29187840800,-950744
2026-09-09,CTS,-1776082000,-80731
2026-09-09,DBC,-1610200000,-97000
2026-09-09,DCM,-30798745000,-943300
2026-09-09,DGC,-3471700000,-74500
2026-09-09,DGW,-552420000,-13200
2026-09-09,DIG,-4408525000,-430100
2026-09-09,DPM,-6600600000,-289500
2026-09-09,DXG,-20188738200,-1786614
2026-09-09,EIB,6700000,400
2026-09-09,FPT,104566668400,1444291
2026-09-09,FRT,1837318500,13077
2026-09-09,FTS,-57780000,-2700
2026-09-09,GAS,37162690900,433637
2026-09-09,GEX,-9805092600,-398581
2026-09-09,GMD,-2509920000,-33200
2026-09-09,HAH,-4624584000,-99240
2026-09-09,HCM,8633577500,327650
2026-09-09,HDB,109272900000,3973560
2026-09-09,HDG,-6729480000,-415400
2026-09-09,HPG,234818829000,10649380
2026-09-09,HSG,208417200,19662
2026-09-09,IJC,-126914000,-17800
2026-09-09,KBC,-4422495000,-164100
2026-09-09,KDH,-12206000000,-718000
2026-09-09,LPB,7150275000,148500
2026-09-09,MBB,8537913800,422669
2026-09-09,MBS,35910000,2100
2026-09-09,MCH,15662600000,110300
2026-09-09,MSB,-4763970000,-369300
2026-09-09,MSN,-6629328000,-96920
2026-09-09,MWG,-136254800,-1903
